Method,R=128,R=256,R=512,R=1024,R=2048
LX,0.0,0.0,0.0,0.0,0.0
LE,-0.24021655866936792,0.05998446587733381,0.1001739461614166,-0.08862463094464677,-0.09303831543456097
LK,-0.0972363957820075,0.10345708345254315,0.2842422520325067,0.22549595030370967,0.04522645488439036
KN,67.04157430097575,67.52269784890694,67.61771356464106,67.60186773500133,67.38767705915777
HT,6.7988566826600305,7.531220888782359,7.4794452596081555,7.52556401999012,7.5111454846201635
HK,-1.320045573599348,-0.5704181501075166,-0.6733778861478139,-1.1657040731533326,-0.8637842812791805
MB,1.5737464899014049,1.570212973411542,1.7990810420164334,1.2161058694473907,1.4423789407922218
ANN-FQ,67.04157430097571,67.52269784890694,67.61771356464106,67.60186773500129,67.38767705915784
RP-ANN-FQ,81.30916002382449,80.45595271427014,81.06543394045067,76.74396488630046,79.43585184296087
KD-ANN-FQ,68.44642936020009,69.0729624775591,69.19224775595048,69.15671392241725,68.93960785387772
MR-FQ,-0.26874587480161194,-0.05871201731888314,-0.01170905632342961,-0.04837006071477518,-0.17792759859236318
CE-LE,-0.3416299096943991,-0.35031416500300405,-0.3870982935766059,-0.4042090173944137,-0.5375104897075819
CE-MB,1.5737464899014049,0.902888941278394,0.5597274022668951,0.1886486668988608,-0.08179685269931108
SVD-CE-LE,-0.37435294272682307,-0.5731329107717356,-0.2829717727807518,-0.40054371424820095,-0.3622703408566903
RP-CE-LE,3.98147613027272,3.404080350135132,3.635388466624297,2.1275124165947266,2.0448259742592003
